msa,city_normalized,state,zip_count
pittsburgh,acme,PA,2
pittsburgh,adah,PA,1
pittsburgh,adamsburg,PA,1
pittsburgh,adrian,PA,1
pittsburgh,aliquippa,PA,2
pittsburgh,allenport,PA,1
pittsburgh,allison,PA,1
pittsburgh,allison park,PA,1
pittsburgh,alverton,PA,1
pittsburgh,ambridge,PA,2
pittsburgh,amity,PA,1
pittsburgh,apollo,PA,2
pittsburgh,ardara,PA,1
pittsburgh,armbrust,PA,1
pittsburgh,arona,PA,1
pittsburgh,atlasburg,PA,1
pittsburgh,avella,PA,1
pittsburgh,avonmore,PA,2
pittsburgh,baden,PA,2
pittsburgh,bairdford,PA,1
pittsburgh,bakerstown,PA,1
pittsburgh,beallsville,PA,1
pittsburgh,beaver,PA,1
pittsburgh,beaver falls,PA,1
pittsburgh,belle vernon,PA,4
pittsburgh,bentleyville,PA,1
pittsburgh,bessemer,PA,1
pittsburgh,bethel park,PA,2
pittsburgh,blairsville,PA,1
pittsburgh,bolivar,PA,1
pittsburgh,boswell,PA,1
pittsburgh,bovard,PA,1
pittsburgh,boyers,PA,1
pittsburgh,brackenridge,PA,1
pittsburgh,braddock,PA,1
pittsburgh,bradenville,PA,1
pittsburgh,bradfordwoods,PA,1
pittsburgh,bridgeville,PA,2
pittsburgh,brier hill,PA,1
pittsburgh,brownfield,PA,1
pittsburgh,brownsville,PA,2
pittsburgh,bruin,PA,1
pittsburgh,buena vista,PA,1
pittsburgh,bulger,PA,2
pittsburgh,bunola,PA,1
pittsburgh,burgettstown,PA,2
pittsburgh,butler,PA,3
pittsburgh,cabot,PA,1
pittsburgh,cadogan,PA,1
pittsburgh,california,PA,1
pittsburgh,callery,PA,1
pittsburgh,canonsburg,PA,1
pittsburgh,cardale,PA,1
pittsburgh,carmichaels,PA,1
pittsburgh,carnegie,PA,1
pittsburgh,cecil,PA,2
pittsburgh,chalk hill,PA,1
pittsburgh,champion,PA,2
pittsburgh,charleroi,PA,1
pittsburgh,chestnut ridge,PA,1
pittsburgh,cheswick,PA,1
pittsburgh,chicora,PA,2
pittsburgh,clairton,PA,1
pittsburgh,claridge,PA,1
pittsburgh,clarksville,PA,1
pittsburgh,claysville,PA,1
pittsburgh,clinton,PA,3
pittsburgh,coal center,PA,1
pittsburgh,cokeburg,PA,1
pittsburgh,confluence,PA,1
pittsburgh,connellsville,PA,1
pittsburgh,connoquenessing,PA,1
pittsburgh,conway,PA,1
pittsburgh,coraopolis,PA,1
pittsburgh,coulters,PA,1
pittsburgh,cowansville,PA,1
pittsburgh,crabtree,PA,1
pittsburgh,cranberry township,PA,2
pittsburgh,creekside,PA,1
pittsburgh,creighton,PA,1
pittsburgh,crescent,PA,1
pittsburgh,cuddy,PA,1
pittsburgh,curtisville,PA,1
pittsburgh,daisytown,PA,1
pittsburgh,darlington,PA,1
pittsburgh,darragh,PA,1
pittsburgh,dawson,PA,1
pittsburgh,dayton,PA,1
pittsburgh,delmont,PA,1
pittsburgh,denbo,PA,1
pittsburgh,derry,PA,1
pittsburgh,dickerson run,PA,1
pittsburgh,donegal,PA,1
pittsburgh,donora,PA,1
pittsburgh,dravosburg,PA,1
pittsburgh,dunbar,PA,1
pittsburgh,dunlevy,PA,1
pittsburgh,duquesne,PA,1
pittsburgh,east brady,PA,1
pittsburgh,east butler,PA,1
pittsburgh,east mc keesport,PA,1
pittsburgh,east millsboro,PA,1
pittsburgh,east pittsburgh,PA,1
pittsburgh,east vandergrift,PA,1
pittsburgh,eau claire,PA,1
pittsburgh,edinburg,PA,1
pittsburgh,eighty four,PA,1
pittsburgh,elco,PA,1
pittsburgh,elderton,PA,1
pittsburgh,elizabeth,PA,2
pittsburgh,ellsworth,PA,1
pittsburgh,ellwood city,PA,2
pittsburgh,elrama,PA,2
pittsburgh,emlenton,PA,1
pittsburgh,enon valley,PA,2
pittsburgh,evans city,PA,1
pittsburgh,everson,PA,1
pittsburgh,export,PA,1
pittsburgh,fairbank,PA,1
pittsburgh,fairchance,PA,1
pittsburgh,fairmount city,PA,1
pittsburgh,farmington,PA,1
pittsburgh,fayette city,PA,2
pittsburgh,fenelton,PA,1
pittsburgh,finleyville,PA,2
pittsburgh,fombell,PA,2
pittsburgh,forbes road,PA,1
pittsburgh,ford city,PA,1
pittsburgh,ford cliff,PA,1
pittsburgh,forestville,PA,1
pittsburgh,fredericktown,PA,1
pittsburgh,freedom,PA,1
pittsburgh,freeport,PA,4
pittsburgh,georgetown,PA,1
pittsburgh,gibbon glade,PA,1
pittsburgh,gibsonia,PA,2
pittsburgh,glassport,PA,1
pittsburgh,glenshaw,PA,1
pittsburgh,grapeville,PA,1
pittsburgh,greenock,PA,1
pittsburgh,greensburg,PA,1
pittsburgh,grindstone,PA,1
pittsburgh,grove city,PA,2
pittsburgh,hannastown,PA,1
pittsburgh,harmony,PA,3
pittsburgh,harrison city,PA,1
pittsburgh,harrisville,PA,1
pittsburgh,harwick,PA,1
pittsburgh,herminie,PA,1
pittsburgh,hibbs,PA,1
pittsburgh,hickory,PA,1
pittsburgh,hiller,PA,1
pittsburgh,hilliards,PA,1
pittsburgh,hillsville,PA,1
pittsburgh,homestead,PA,1
pittsburgh,hookstown,PA,1
pittsburgh,hopwood,PA,1
pittsburgh,hostetter,PA,1
pittsburgh,houston,PA,1
pittsburgh,hunker,PA,1
pittsburgh,hutchinson,PA,1
pittsburgh,hyde park,PA,1
pittsburgh,imperial,PA,3
pittsburgh,indian head,PA,1
pittsburgh,indianola,PA,1
pittsburgh,industry,PA,1
pittsburgh,ingomar,PA,1
pittsburgh,irwin,PA,2
pittsburgh,isabella,PA,1
pittsburgh,jacobs creek,PA,1
pittsburgh,jeannette,PA,1
pittsburgh,joffre,PA,1
pittsburgh,jones mills,PA,1
pittsburgh,karns city,PA,2
pittsburgh,keisterville,PA,1
pittsburgh,kittanning,PA,1
pittsburgh,koppel,PA,1
pittsburgh,la belle,PA,1
pittsburgh,lake lynn,PA,1
pittsburgh,langeloth,PA,1
pittsburgh,larimer,PA,1
pittsburgh,latrobe,PA,1
pittsburgh,laughlintown,PA,1
pittsburgh,lawrence,PA,1
pittsburgh,leckrone,PA,1
pittsburgh,leechburg,PA,2
pittsburgh,leetsdale,PA,1
pittsburgh,leisenring,PA,1
pittsburgh,lemont furnace,PA,1
pittsburgh,ligonier,PA,1
pittsburgh,lowber,PA,1
pittsburgh,loyalhanna,PA,1
pittsburgh,luxor,PA,1
pittsburgh,lyndora,PA,1
pittsburgh,madison,PA,1
pittsburgh,manor,PA,1
pittsburgh,manorville,PA,1
pittsburgh,marianna,PA,1
pittsburgh,markleysburg,PA,1
pittsburgh,mars,PA,2
pittsburgh,martin,PA,1
pittsburgh,masontown,PA,1
pittsburgh,mayport,PA,1
pittsburgh,mc clellandtown,PA,1
pittsburgh,mc donald,PA,2
pittsburgh,mc grann,PA,1
pittsburgh,mc kees rocks,PA,1
pittsburgh,mccandless,PA,0
pittsburgh,mckeesport,PA,6
pittsburgh,meadow lands,PA,1
pittsburgh,melcroft,PA,1
pittsburgh,merrittstown,PA,1
pittsburgh,midland,PA,1
pittsburgh,mill run,PA,1
pittsburgh,millsboro,PA,1
pittsburgh,monaca,PA,1
pittsburgh,monessen,PA,1
pittsburgh,monongahela,PA,2
pittsburgh,monroeville,PA,2
pittsburgh,morgan,PA,1
pittsburgh,mount braddock,PA,1
pittsburgh,mount pleasant,PA,2
pittsburgh,mt. lebanon,PA,0
pittsburgh,murrysville,PA,1
pittsburgh,muse,PA,1
pittsburgh,natrona heights,PA,2
pittsburgh,new alexandria,PA,1
pittsburgh,new bedford,PA,1
pittsburgh,new bethlehem,PA,1
pittsburgh,new brighton,PA,1
pittsburgh,new castle,PA,3
pittsburgh,new derry,PA,1
pittsburgh,new eagle,PA,1
pittsburgh,new florence,PA,1
pittsburgh,new galilee,PA,2
pittsburgh,new geneva,PA,1
pittsburgh,new kensington,PA,2
pittsburgh,new salem,PA,1
pittsburgh,new stanton,PA,1
pittsburgh,new wilmington,PA,1
pittsburgh,newell,PA,1
pittsburgh,normalville,PA,1
pittsburgh,north apollo,PA,1
pittsburgh,north versailles,PA,2
pittsburgh,north washington,PA,1
pittsburgh,norvelt,PA,1
pittsburgh,nu mine,PA,1
pittsburgh,oak ridge,PA,1
pittsburgh,oakdale,PA,1
pittsburgh,oakmont,PA,1
pittsburgh,ohiopyle,PA,1
pittsburgh,oliver,PA,1
pittsburgh,parker,PA,2
pittsburgh,penn,PA,1
pittsburgh,penn hills,PA,0
pittsburgh,perryopolis,PA,1
pittsburgh,petrolia,PA,1
pittsburgh,pitcairn,PA,1
pittsburgh,pittsburgh,PA,48
