msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,3D PIPELINE SIMULATION CORP.,3d pipeline simulation,grant_only_company,startup,unknown,Atlanta,GA,30326,False,True,False,False,0.0,1.0,99714.0,0.0,0.0,,,,,,,137165861,,9,2005,2005,,
atlanta,"3DMD, LLC",3dmd,grant_only_company,startup,unknown,ATLANTA,GA,-,False,True,False,False,0.0,2.0,800001.0,0.0,0.0,,,,,,JMFWMNVD3WH6,005547588,,0,2010,2012,,
atlanta,"3T Technologies, LLC",3t technologies,grant_only_company,startup,unknown,Marietta,GA,30067,False,True,False,False,0.0,1.0,149927.0,0.0,0.0,,,,,,,080267751,,2,2018,2018,,
atlanta,3dh Corporation,3dh,grant_only_company,startup,unknown,Norcross,GA,30093,False,True,False,False,0.0,1.0,100000.0,0.0,0.0,,,,,,,,,20,2005,2005,,
atlanta,"4-D IMAGING, INC.",4 d imaging,grant_only_company,startup,medtech,NORCROSS,GA,30071-1431,False,True,False,False,0.0,1.0,69994.0,0.0,0.0,,,,,,,134344824,,3,2010,2010,,
atlanta,422 Group,422,grant_only_company,startup,unknown,Tucker,GA,30084 7064,False,True,False,False,0.0,2.0,600000.0,0.0,0.0,,,,,,,842215217,,14,2009,2010,,
atlanta,"4DGENOME, INC.",4dgenome,grant_only_company,startup,unknown,DECATUR,GA,30033-1700,False,True,False,False,0.0,1.0,218556.0,0.0,0.0,,,,,,,078770692,,5,2014,2014,,
atlanta,"5M BIOMED, LLC",5m biomed,grant_only_company,startup,unknown,JOHNS CREEK,GA,30022-5677,False,True,True,False,0.0,6.0,2614653.0,6.0,2614653.0,,,,,,K82GCNF5EPU3,055492070,,10,2020,2025,,
atlanta,"8Seven8, Inc.",8seven8,grant_only_company,startup,unknown,Decatur,GA,30030,False,True,False,False,0.0,1.0,149997.0,0.0,0.0,,,,,,DDARGANC2UC7,,https://www.8seven8.com/,2,2025,2025,,
atlanta,"ABACUS MIND MATH TUTORS, INC.",abacus mind math tutors,grant_only_company,startup,unknown,ATLANTA,GA,,False,True,False,False,0.0,1.0,250000.0,0.0,0.0,,,,,,EQCPG8QYEER3,080974724,https://www.mathjr.org/,1,2025,2025,,
atlanta,"ADENOPAINT, LLC",adenopaint,grant_only_company,startup,unknown,Atlanta,GA,30342-4159,False,True,True,False,0.0,2.0,1751096.0,2.0,499998.0,,,,,,EJZLNLTM5GQ5,014629027,,0,2017,2023,,
atlanta,ADVAC LLC,advac,grant_only_company,startup,unknown,LILBURN,GA,30047-1830,False,True,True,False,0.0,2.0,497223.0,1.0,272223.0,,,,,,PJPNK66DNNZ9,080445256,,1,2018,2020,,
atlanta,"ADVANCED SOLUTIONS FOR TOMORROW, INC.",advanced solutions for tomorrow,grant_only_company,startup,unknown,Roswell,GA,30075 0075,False,True,False,False,0.0,4.0,2791767.0,0.0,0.0,,,,,,LFZKTW34NNG1,835146531,,102,2007,2010,,
atlanta,"AEROMECHANICS, LLC",aeromechanics,grant_only_company,startup,unknown,Duluth,GA,30096,False,True,False,False,0.0,1.0,69980.0,0.0,0.0,,,,,,,110957821,,1,2000,2000,,
atlanta,AETHER ARGUS INC,aether argus,grant_only_company,startup,unknown,ATLANTA,GA,30328-3652,False,True,False,False,0.0,5.0,7264698.0,0.0,0.0,,,,,,KBAFK72BJ4U5,117059343,https://aetherargus.com/,5,2023,2024,,
atlanta,"ALPZHI, INC.",alpzhi,grant_only_company,startup,unknown,ATLANTA,GA,30318-5713,False,True,False,False,0.0,2.0,297363.0,0.0,0.0,,,,,,,832766179,www.alpzhi.com,5,2011,2013,,
atlanta,AMERICAN DATA SOLUTIONS LLC,american data solutions,grant_only_company,startup,unknown,SMYRNA,GA,30080-8506,False,True,False,False,0.0,3.0,1398025.0,0.0,0.0,,,,,,GSX6MPLDM8B7,969615132,https://www.mddv.com,27,2023,2024,,
atlanta,AMP SPORT INC,amp sport,grant_only_company,startup,unknown,DECATUR,GA,30030-4567,False,True,False,False,0.0,2.0,799947.0,0.0,0.0,,,,,,MPA6G3UMHUM5,080608010,https://www.amprecover.com,6,2021,2022,,
atlanta,"ANALYTICS HQ, LLC",analytics hq,grant_only_company,startup,unknown,SUWANEE,GA,30024-1968,False,True,False,False,0.0,1.0,1999584.14,0.0,0.0,,,,,,KZC1APBM88W5,033842525,https://AnalyticsHQ.com,4,2024,2024,,
atlanta,ANXOMICS LLC,anxomics,grant_only_company,startup,unknown,JOHNS CREEK,GA,30022,False,True,True,False,0.0,1.0,312492.0,1.0,312492.0,,,,,,RPUDSG5GB529,,,2,2024,2024,,
