msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
baltimore,3DFlexible Inc,3dflexible,grant_only_company,startup,unknown,Laurel,MD,20723-1097,False,True,False,False,0.0,8.0,3833903.89,0.0,0.0,,,,,,ZZKFKXNTMMA3,080528211,http://www.3dflexible.com/,6,2017,2023,,
baltimore,"4S - SILVERSWORD SOFTWARE & SERVICES, LLC",4s silversword software services,grant_only_company,startup,digital_health,CATONSVILLE,MD,21228-4871,False,True,False,False,0.0,10.0,2888013.79,0.0,0.0,,,,,,TFUVNTYVCL53,079719608,https://www.4s-llc.com,75,2018,2024,,
baltimore,"A P Ventures, LLC",a p ventures,grant_only_company,startup,unknown,COLUMBIA,MD,21046-1554,False,True,False,False,0.0,1.0,199984.94,0.0,0.0,,,,,,CF46HNY9JH31,005752289,http://www.apvit.com,48,2019,2019,,
baltimore,"A&G PHARMACEUTICAL, INC.",a g pharmaceutical,grant_only_company,startup,pharma,COLUMBIA,MD,21045-2006,False,True,False,False,0.0,15.0,10246354.0,0.0,0.0,,,,,,SN6SWFABJXL1,963442723,www.agpharma.com,27,2004,2020,,
baltimore,ABN,abn,grant_only_company,startup,unknown,Columbia,MD,21046 0254,False,True,False,False,0.0,7.0,1025409.0,0.0,0.0,,,,,,,,,18,2004,2006,,
baltimore,"ABRI SCIENCE, LLC",abri science,grant_only_company,startup,unknown,BALTIMORE,MD,21230-1901,False,True,True,False,0.0,1.0,225000.0,1.0,225000.0,,,,,,CMPRHZJGJ3H1,116922745,https://www.abriscience.com,2,2019,2019,,
baltimore,ACCELEVIR DIAGNOSTICS LLC,accelevir diagnostics,grant_only_company,startup,diagnostics,BALTIMORE,MD,21202-3183,False,True,True,False,0.0,12.0,7369789.0,19.0,12553252.0,,,,,,F6SKM7YHCUS7,079940153,www.accelevirdx.com,10,2016,2023,,
baltimore,"ACG, LLC",acg,grant_only_company,startup,unknown,Ellicott City,MD,21042-4954,False,True,False,False,0.0,2.0,849970.0,0.0,0.0,,,,,,,790010852,www.acgroups.org,11,2000,2001,,
baltimore,AD HOC RESEARCH ASSOCIATES LLC,ad hoc research associates,grant_only_company,startup,unknown,Belcamp,MD,21017-1541,False,True,False,False,0.0,2.0,3246517.35,0.0,0.0,,,,,,LN6HVDFD34S6,962516857,http://www.ad-hocresearch.com,1,2025,2025,,
baltimore,"ADIABATICS, INC.",adiabatics,grant_only_company,startup,unknown,ELLICOTT CITY,MD,21043,False,True,False,False,0.0,0.0,280914.0,0.0,0.0,,,,,,,,,,2001,2001,,
baltimore,"ADVANCED COORDINATION TECHNOLOGIES, LLC.",advanced coordination technologies,grant_only_company,startup,unknown,FINKSBURG,MD,21048-1578,False,True,False,False,0.0,2.0,842900.0,0.0,0.0,,,,,,,080150109,,6,2003,2003,,
baltimore,ADVANCED FLUIDICS LLC,advanced fluidics,grant_only_company,startup,unknown,ELLICOTT CITY,MD,21042-5928,False,True,False,False,0.0,6.0,1174792.0,0.0,0.0,,,,,,L6V4S6HAR5B9,177857781,,1,2005,2020,,
baltimore,ADVANCED MOLECULAR HEALIX INC.,advanced molecular healix,grant_only_company,startup,unknown,Baltimore,MD,21224,False,True,True,False,0.0,1.0,296256.0,1.0,296256.0,,,,,,YUDFC1FBR4X6,110938522,,0,2025,2025,,
baltimore,"ADVANCED NANOPHOTONICS, INC.",advanced nanophotonics,grant_only_company,startup,unknown,Harwood,MD,20776-2200,False,True,False,False,0.0,1.0,899871.0,0.0,0.0,,,,,,ERSZTXN14C55,080121141,http://www.advancednanophotonics.com,5,2024,2024,,
baltimore,AGNIK LLC,agnik,grant_only_company,startup,unknown,COLUMBIA,MD,21045-5969,False,True,False,False,0.0,9.0,3393133.0,0.0,0.0,,,,,,J7D1P8WECWD8,025443412,http://www.agnik.com,18,2003,2016,,
baltimore,AI SENSE,ai sense,grant_only_company,startup,unknown,Ellicott City,MD,21043,False,True,False,False,0.0,1.0,304996.0,0.0,0.0,,,,,,S2LAUP52NE29,,,2,2025,2025,,
baltimore,AID NETWORKS,aid networks,grant_only_company,startup,unknown,Ellicott City,MD,21043,False,True,False,False,0.0,2.0,199000.0,0.0,0.0,,,,,,,796333982,,5,2007,2008,,
baltimore,AIDAR HEALTH INC,aidar health,grant_only_company,startup,unknown,PIKESVILLE,MD,21208-1839,False,True,True,False,0.0,3.0,1532150.0,2.0,276150.0,,,,,,JEMYBJLDN1T3,012064384,https://www.aidar.com,12,2020,2023,,
baltimore,AIRPHOTON LLC ,airphoton,grant_only_company,startup,unknown,Baltimore,MD,21227-3863,False,True,False,False,0.0,1.0,124107.0,0.0,0.0,,,,,,LTA1BVS6NKZ5,049115613,www.airphoton.com,12,2021,2021,,
baltimore,ALBA THERAPEUTICS CORPORATION,alba therapeutics,grant_only_company,startup,pharma,BALTIMORE,MD,21224,False,True,False,False,0.0,1.0,530624.0,0.0,0.0,,,,,,,,,,2006,2006,,
baltimore,"ALCAMENA STEM CELL THERAPEUTICS, LLC",alcamena stem cell therapeutics,grant_only_company,startup,pharma,HALETHORPE,MD,21227-3863,False,True,True,False,0.0,3.0,2980845.0,5.0,2980845.0,,,,,,J6DAAQH7AQL8,079683375,https://alcamenabio.com/,2,2018,2025,,
baltimore,"ALLOY COMPUTING, LLC",alloy computing,grant_only_company,startup,unknown,Clarksville,MD,21029 1029,False,True,False,False,0.0,1.0,99000.0,0.0,0.0,,,,,,MEAXHEKS4NN7,604139720,,3,2008,2008,,
baltimore,"ALPHA OMEGA ELECTROMAGNETICS, LLC",alpha omega electromagnetics,grant_only_company,startup,unknown,Millersville,MD,21108-1962,False,True,False,False,0.0,16.0,6958599.0,0.0,0.0,,,,,,MMWVV292Q3N8,011759482,alphaomegaem.com,5,1998,2017,,
baltimore,"ANATOMYWORKS, LLC",anatomyworks,grant_only_company,startup,unknown,Baltimore,MD,21205-,False,True,True,False,0.0,5.0,2434872.0,3.0,1487147.0,,,,,,YJJWMQGJD285,827126520,,0,2012,2017,,
baltimore,"ANJIN GROUP, INC.",anjin,grant_only_company,startup,unknown,COCKEYSVILLE,MD,21030 2202,False,True,False,False,0.0,4.0,567216.0,0.0,0.0,,,,,,,143606742,,,2005,2008,,
