msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
dallas,"2CIMPLE, INC.",2cimple,grant_only_company,startup,unknown,PLANO,TX,75025-5736,False,True,False,False,0.0,2.0,599811.0,0.0,0.0,,,,,,RQQFQZECNDG1,828893920,,5,2009,2010,,
dallas,3D EPITAXIAL TECHNOLOGIES LLC,3d epitaxial technologies,grant_only_company,startup,unknown,RICHARDSON,TX,75081-2274,False,True,False,False,0.0,2.0,1348052.0,0.0,0.0,,,,,,H511WZK6MLZ5,079884270,https://www.3depitech.com,4,2020,2022,,
dallas,"3D-Computing, Inc.",3d computing,grant_only_company,startup,unknown,DeSoto,TX,75115,False,True,False,False,0.0,1.0,891851.0,0.0,0.0,,,,,,,942277534,www.3d-computing.com,3,1995,1996,,
dallas,4-Web Spine Inc.,4 web spine,grant_only_company,startup,unknown,Frisco,TX,75033-2878,False,True,False,False,0.0,2.0,900000.0,0.0,0.0,,,,,,VGMNNZTUX7T2,021323706,,2,2013,2015,,
dallas,911 SECURITY CAMERAS,911 security cameras,grant_only_company,startup,unknown,DALLAS,TX,75238-5353,False,True,False,False,0.0,1.0,49800.0,0.0,0.0,,,,,,LF9BCF5KMFC6,808351212,911security.com,24,2019,2019,,
dallas,"ACCESS PHARMACEUTICALS, INC.",access pharmaceuticals,grant_only_company,startup,pharma,Dallas,TX,75207 0210,False,True,False,False,0.0,1.0,209943.0,0.0,0.0,,,,,,,607812414,,28,2000,2005,,
dallas,ADVANCED CARPET RECYCLING LLC,advanced carpet recycling,grant_only_company,startup,unknown,BEDFORD,TX,,False,True,False,False,0.0,1.0,275000.0,0.0,0.0,,,,,,XTAMS8BP23U8,,,0,2024,2024,,
dallas,"AGYPHARMA, LLC",agypharma,grant_only_company,startup,pharma,Mansfield,TX,76063-3809,False,True,False,False,0.0,1.0,226310.0,0.0,0.0,,,,,,WLLMK987R9M5,940639748,,,2016,2016,,
dallas,AIR ARMOR TECH LLC,air armor tech,grant_only_company,startup,unknown,HASLET,TX,76052-2099,False,True,False,False,0.0,1.0,49942.0,0.0,0.0,,,,,,L39YW2KHPS99,079189360,https://www.airarmortech.com,5,2020,2020,,
dallas,ALPINE ADVANCED MATERIALS LLC,alpine advanced materials,grant_only_company,startup,unknown,DALLAS,TX,75215-6857,False,True,False,False,0.0,3.0,1392880.0,0.0,0.0,,,,,,ZG2WNRZLJ5K5,115598779,https://alpineadvancedmaterials.com/,19,2024,2025,,
dallas,"ALTITUDE GRID, LLC",altitude grid,grant_only_company,startup,unknown,GRAPEVINE,TX,76051-7809,False,True,False,False,0.0,1.0,200000.0,0.0,0.0,,,,,,JR1UFG13P7G9,124645467,,6,2022,2022,,
dallas,ANALYTICAL SCIENTIFIC PRODUCTS LLC,analytical scientific products,grant_only_company,startup,unknown,DALLAS,TX,75244-7601,False,True,False,False,0.0,6.0,2797991.29,0.0,0.0,,,,,,ek8knkfpaaf6,117884508,https://www.analyticalscientificproducts.com,3,2022,2025,,
