msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
philadelphia,"1442 S. FALLON STREET, LLC",1442 s fallon street,grant_only_company,startup,unknown,PHILADELPHIA,PA,19143-3806,False,True,False,False,0.0,1.0,255997.0,0.0,0.0,,,,,,FXRMGKG32HA4,105354512,,2,2021,2021,,
philadelphia,"1HUDDLE, INC",1huddle,grant_only_company,startup,unknown,NEWARK,NJ,07102-3117,False,True,False,False,0.0,4.0,899893.0,0.0,0.0,,,,,,DLWUDXSVLSZ7,843520797,https://www.1huddle.co,36,2020,2021,,
philadelphia,3-ONE-2,3 one 2,grant_only_company,startup,unknown,Willow Grove,PA,19090,False,True,False,False,0.0,1.0,138338.0,0.0,0.0,,,,,,,035046015,,1,2010,2010,,
philadelphia,"3c Systems, Inc.",3c systems,grant_only_company,startup,unknown,Wynnewood,PA,19096,False,True,False,False,0.0,0.0,1603041.0,0.0,0.0,,,,,,,,,3,1986,1995,,
philadelphia,"4TH PHASE TECHNOLOGIES, INC.",4th phase technologies,grant_only_company,startup,unknown,WILMINGTON,DE,19809-1376,False,True,False,False,0.0,1.0,25000.0,0.0,0.0,,,,,,HM6ZSMKNTUV5,084612699,https://www.4thphasetech.com,2,2019,2019,,
philadelphia,A'as Inc.,a as,grant_only_company,startup,unknown,NORRISTOWN,PA,19403,False,True,True,False,0.0,1.0,224835.0,1.0,224835.0,,,,,,,079352545,,1,2015,2015,,
philadelphia,"ABLAZE SYSTEMS, LLC",ablaze systems,grant_only_company,startup,unknown,WAYNE,PA,19087-5315,False,True,False,False,0.0,1.0,99000.0,0.0,0.0,,,,,,,131257433,www.ablazesystems.com,2,2009,2009,,
philadelphia,ABSORPTION SYSTEMS LLC,absorption systems,grant_only_company,startup,unknown,Exton,PA,19341-2556,False,True,False,False,0.0,2.0,1061542.0,0.0,0.0,,,,,,G7FBJ3M3JFF3,007797314,,,2008,2009,,
philadelphia,ABZYME THERAPEUTICS LLC,abzyme therapeutics,grant_only_company,startup,pharma,POTTSTOWN,PA,19464-3468,False,True,True,False,0.0,23.0,8558255.25,18.0,6608291.0,,,,,,H2MLEFWV36N6,962964990,http://www.abzymetx.com,8,2011,2024,,
philadelphia,"ACCU MEASUREMENT AND TESTING, INC.",accu measurement and testing,grant_only_company,startup,unknown,NEWTOWN,PA,18940 3320,False,True,False,False,0.0,1.0,100000.0,0.0,0.0,,,,,,,152125840,,4,2007,2007,,
philadelphia,"ACCUDYNE SYSTEMS, INC.",accudyne systems,grant_only_company,startup,unknown,NEWARK,DE,19702-3335,False,True,False,False,0.0,10.0,3483155.0,0.0,0.0,,,,,,QLJLWGE4MHD4,960998474,accudyne.com,30,2000,2012,,
philadelphia,ACE Running LLC,ace running,grant_only_company,startup,unknown,Wilmington,DE,19803-2229,False,True,False,False,0.0,2.0,524548.0,0.0,0.0,,,,,,HND2YKB35AS7,116954084,https://rundna.com/,6,2019,2020,,
philadelphia,ACHIEWELL LLC,achiewell,grant_only_company,startup,unknown,HATFIELD,PA,19440-3273,False,True,False,False,0.0,1.0,199985.0,0.0,0.0,,,,,,VEDFK6NP68P3,361988533,http://www.achiewell.com,6,2023,2023,,
philadelphia,ACOUSTIC THERAPEUTICS,acoustic therapeutics,grant_only_company,startup,pharma,PHILADELPHIA,PA,19103 4428,False,True,False,False,0.0,1.0,145340.0,0.0,0.0,,,,,,,826997210,,,2009,2009,,
