msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
atlanta,"ADCARE HEALTH SYSTEMS, INC",adcare health systems,confirmed_funded,ROSWELL,GA,30076,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001004724,,,,,,
atlanta,ALIMERA SCIENCES INC,alimera sciences,confirmed_funded,ALPHARETTA,GA,30005,True,False,False,3.0,0.0,0.0,0.0,0.0,,Corporation,Pharmaceuticals,0001267602,,,,,,
atlanta,AMBLYOTECH INC.,amblyotech,confirmed_funded,MARIETTA,GA,30062,True,False,False,1.0,0.0,0.0,0.0,0.0,2014,Corporation,Other Health Care,0001695495,,,,,,
atlanta,"ASSURED PHARMA, INC.",assured pharma,confirmed_funded,Atlanta,GA,30328,True,False,False,1.0,0.0,0.0,0.0,0.0,2015,Corporation,Pharmaceuticals,0001649887,,,,,,
atlanta,"ATLANTA DETOX GROUP, LLC",atlanta detox,confirmed_funded,RIVERDALE,GA,30274,True,False,False,1.0,0.0,0.0,0.0,0.0,2022,Limited Liability Company,Other Health Care,0002069614,,,,,,
atlanta,"Access Clinical Partners, LLC",access clinical partners,confirmed_funded,ATLANTA,GA,30328,True,False,False,1.0,0.0,0.0,0.0,0.0,2011,Limited Liability Company,Other Health Care,0001653958,,,,,,
atlanta,Accuitis Inc.,accuitis,confirmed_funded,CUMMING,GA,30041,True,False,False,4.0,0.0,0.0,0.0,0.0,2011,Corporation,Biotechnology,0001634848,,,,,,
atlanta,"Accushield, LLC",accushield,confirmed_funded,ATLANTA,GA,30339,True,False,False,2.0,0.0,0.0,0.0,0.0,2013,Limited Liability Company,Other Health Care,0001624042,,,,,,
atlanta,"AlmataBio, Inc.",almatabio,confirmed_funded,ATLANTA,GA,30308,True,False,False,1.0,0.0,0.0,0.0,0.0,2023,Corporation,Biotechnology,0002002604,,,,,,
atlanta,"American CareSource Holdings, Inc.",american caresource,confirmed_funded,ATLANTA,GA,30309,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001316645,,,,,,
atlanta,"AmpSport, Inc.",ampsport,confirmed_funded,Decatur,GA,30030,True,False,False,3.0,0.0,0.0,0.0,0.0,2016,Corporation,Biotechnology,0001801202,,,,,,
atlanta,Antios Therapeutics Inc.,antios therapeutics,confirmed_funded,ATLANTA,GA,30355,True,False,False,2.0,0.0,0.0,0.0,0.0,2018,Corporation,Biotechnology,0001760428,,,,,,
atlanta,"AperiSys, Inc.",aperisys,confirmed_funded,CUMMING,GA,30041,True,False,False,9.0,0.0,0.0,0.0,0.0,2015,Corporation,Other Health Care,0001658374,,,,,,
atlanta,Apollo Behavior Services LLC,apollo behavior services,confirmed_funded,SUWANEE,GA,30024,True,False,False,1.0,0.0,0.0,0.0,0.0,2020,Limited Liability Company,Other Health Care,0001965287,,,,,,
atlanta,"Apollo Med Innovations, Inc.",apollo med innovations,confirmed_funded,PEACHTREE CITY,GA,30269,True,False,False,2.0,0.0,0.0,0.0,0.0,2019,Corporation,Other Health Care,0001747838,,,,,,
atlanta,"Artelon, Inc.",artelon,confirmed_funded,MARIETTA,GA,30067,True,False,False,1.0,0.0,0.0,0.0,0.0,2023,Corporation,Biotechnology,0001978956,,,,,,
atlanta,"Arthroba, Inc.",arthroba,confirmed_funded,SMYRNA,GA,30080,True,False,False,3.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001972133,,,,,,
atlanta,"Artificial Intelligence Medical Services, Inc.",artificial intelligence medical services,confirmed_funded,CUMMING,GA,30041,True,False,False,4.0,0.0,0.0,0.0,0.0,2020,Corporation,Biotechnology,0001846100,,,,,,
atlanta,"Association Health Plans of America, LLC",association health plans of america,confirmed_funded,ATLANTA,GA,30326,True,False,False,1.0,0.0,0.0,0.0,0.0,2018,Limited Liability Company,Other Health Care,0001753221,,,,,,
atlanta,"Azalea Health Innovations, Inc.",azalea health innovations,confirmed_funded,ATLANTA,GA,30328,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001630860,,,,,,
atlanta,"B4CC, Inc.",b4cc,confirmed_funded,GAINESVILLE,GA,30501,True,False,False,4.0,0.0,0.0,0.0,0.0,2015,Corporation,Biotechnology,0001660721,,,,,,
atlanta,BBM Health LLC,bbm health,confirmed_funded,Atlanta,GA,30309,True,False,False,1.0,0.0,0.0,0.0,0.0,2016,Limited Liability Company,Other Health Care,0001785807,,,,,,
atlanta,"BIOCURITY HOLDINGS, INC.",biocurity,confirmed_funded,JOHNS CREEK,GA,30097,True,False,False,1.0,0.0,0.0,0.0,0.0,2015,Corporation,Biotechnology,0001639681,,,,,,
atlanta,"BLA Technology, LLC",bla technology,confirmed_funded,ATLANTA,GA,30327,True,False,False,9.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001522591,,,,,,
atlanta,"Basis Medical, LLC",basis medical,confirmed_funded,Atlanta,GA,30307,True,False,False,3.0,0.0,0.0,0.0,0.0,2017,Limited Liability Company,Other Health Care,0001738555,,,,,,
atlanta,"Blue Summit Hospice & Palliative Care, Inc.",blue summit hospice palliative care,confirmed_funded,ATLANTA,GA,30318,True,False,False,1.0,0.0,0.0,0.0,0.0,2022,Corporation,Other Health Care,0001945223,,,,,,
atlanta,"Boston Biopharma, Inc.",boston biopharma,confirmed_funded,ROSWELL,GA,30075,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Pharmaceuticals,0001857036,,,,,,
atlanta,BrainTrust BIO Inc.,braintrust bio,confirmed_funded,ATLANTA,GA,30309,True,False,False,2.0,0.0,0.0,0.0,0.0,2019,Corporation,Biotechnology,0001844575,,,,,,
atlanta,"Brij Medical, Inc.",brij medical,confirmed_funded,Marietta,GA,30067,True,False,False,3.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001872429,,,,,,
atlanta,"Brijjit Medical, Inc.",brijjit medical,confirmed_funded,MARIETTA,GA,30067,True,False,False,4.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001872429,,,,,,
atlanta,Brijjitco LLC,brijjitco,confirmed_funded,ATLANTA,GA,30309,True,False,False,2.0,0.0,0.0,0.0,0.0,2016,Limited Liability Company,Other Health Care,0001709095,,,,,,
atlanta,"Brookhaven Medical, Inc.",brookhaven medical,confirmed_funded,ATLANTA,GA,30305,True,False,False,3.0,0.0,0.0,0.0,0.0,2013,Corporation,Other Health Care,0001592473,,,,,,
atlanta,"CHILDRENS HEALTHCARE OF ATLANTA SURGERY CENTER AT MERIDIAN MARK PLAZA, LLC",childrens healthcare of atlanta surgery center at meridian mark plaza,confirmed_funded,ATLANTA,GA,30342,True,False,False,14.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001200058,,,,,,
atlanta,CORMATRIX CARDIOVASCULAR INC,cormatrix cardiovascular,confirmed_funded,Roswell,GA,30076,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Biotechnology,0001434206,,,,,,
atlanta,Carestream Dental Alpha Ltd,carestream dental alpha,confirmed_funded,ATLANTA,GA,30339,True,False,False,2.0,0.0,0.0,0.0,0.0,2017,Other,Other Health Care,0001744559,,,,,,
atlanta,"Cartiva, Inc.",cartiva,confirmed_funded,ALPHARETTA,GA,30005,True,False,False,2.0,0.0,0.0,0.0,0.0,2011,Corporation,Other Health Care,0001539128,,,,,,
