msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
baltimore,AC Special Purpose Vehicle LLC,ac special purpose vehicle,confirmed_funded,BALTIMORE,MD,21201,True,False,False,1.0,0.0,0.0,0.0,0.0,2020,Limited Liability Company,Other Health Care,0001837919,,,,,,
baltimore,"AGI Scientific, LLC",agi scientific,confirmed_funded,BALTIMORE,MD,21202,True,False,False,1.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Biotechnology,0001967574,,,,,,
baltimore,"Alphyn Biologics, Inc.",alphyn biologics,confirmed_funded,ANNAPOLIS,MD,21403,True,False,False,4.0,0.0,0.0,0.0,0.0,2019,Corporation,Biotechnology,0001802325,,,,,,
baltimore,"Array Dental Group, LLC",array dental,confirmed_funded,COLUMBIA,MD,21045,True,False,False,1.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001942132,,,,,,
baltimore,Aruene Corp,aruene,confirmed_funded,BALTIMORE,MD,21230,True,False,False,2.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001929244,,,,,,
baltimore,"AskY Therapeutics, Inc.",asky therapeutics,confirmed_funded,Owings Mills,MD,21117,True,False,False,2.0,0.0,0.0,0.0,0.0,2022,Corporation,Pharmaceuticals,0001962108,,,,,,
baltimore,"BC3 Technologies, Inc.",bc3 technologies,confirmed_funded,Baltimore,MD,21229,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0002026343,,,,,,
baltimore,CraniUS LLC,cranius,confirmed_funded,COCKEYSVILLE,MD,21030,True,False,False,5.0,0.0,0.0,0.0,0.0,2021,Limited Liability Company,Biotechnology,0001878219,,,,,,
baltimore,Curio Wellness Corp,curio wellness,confirmed_funded,TOWSON,MD,21204,True,False,False,3.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001861491,,,,,,
baltimore,"DJIT MEDTECH, INC.",djit medtech,confirmed_funded,BALTIMORE,MD,21217,True,False,False,1.0,0.0,0.0,0.0,0.0,2023,Corporation,Biotechnology,0001990885,,,,,,
baltimore,"Delfi Diagnostics, Inc.",delfi diagnostics,confirmed_funded,BALTIMORE,MD,21211,True,False,False,2.0,0.0,0.0,0.0,0.0,2018,Corporation,Biotechnology,0001783735,,,,,,
baltimore,"Drizzle Health, LLC",drizzle health,confirmed_funded,BALTIMORE,MD,21211,True,False,False,1.0,0.0,0.0,0.0,0.0,2020,Limited Liability Company,Biotechnology,0002045956,,,,,,
baltimore,"ELIXIRGEN THERAPEUTICS, INC.",elixirgen therapeutics,confirmed_funded,BALTIMORE,MD,21205,True,False,False,7.0,0.0,0.0,0.0,0.0,2017,Corporation,Biotechnology,0001744333,,,,,,
baltimore,"EMIT IMAGING, INC.",emit imaging,confirmed_funded,BALTIMORE,MD,21201,True,False,False,2.0,0.0,0.0,0.0,0.0,2018,Corporation,Biotechnology,0001973076,,,,,,
baltimore,"EPOCH Epigenetics, Inc.",epoch epigenetics,confirmed_funded,BALTIMORE,MD,21201,True,False,False,1.0,0.0,0.0,0.0,0.0,2023,Corporation,Biotechnology,0002068186,,,,,,
baltimore,"Emergency Medical Innovation, LLC",emergency medical innovation,confirmed_funded,HIGHLAND,MD,20777,True,False,False,1.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001881474,,,,,,
baltimore,Even Health LLC,even health,confirmed_funded,ANNAPOLIS,MD,21401,True,False,False,1.0,0.0,0.0,0.0,0.0,2019,Limited Liability Company,Other Health Care,0001879696,,,,,,
baltimore,"Flavocure Biotech, Inc.",flavocure biotech,confirmed_funded,BALTIMORE,MD,21202,True,False,False,2.0,0.0,0.0,0.0,0.0,2018,Corporation,Biotechnology,0001960342,,,,,,
baltimore,"Haystack Oncology, Inc.",haystack oncology,confirmed_funded,BALTIMORE,MD,21211,True,False,False,1.0,0.0,0.0,0.0,0.0,2021,Corporation,Biotechnology,0001952610,,,,,,
baltimore,Hunterian Medicine LLC,hunterian medicine,confirmed_funded,BALTIMORE,MD,21215,True,False,False,2.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Biotechnology,0001685325,,,,,,
