msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
philadelphia,AAA Advantage Home Care Inc.,aaa advantage home care,confirmed_funded,NEWARK,DE,19702,True,False,False,3.0,0.0,0.0,0.0,0.0,2023,Corporation,Other Health Care,0002065427,,,,,,
philadelphia,"AMICUS THERAPEUTICS, INC.",amicus therapeutics,confirmed_funded,PHILADELPHIA,PA,19104,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Biotechnology,0001178879,,,,,,
philadelphia,ARUSHA LLC,arusha,confirmed_funded,EXTON,PA,19341,True,False,False,1.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001670891,,,,,,
philadelphia,ASC DENTAL VENTURES LLC,asc dental ventures,confirmed_funded,WILMINGTON,DE,19807,True,False,False,6.0,0.0,0.0,0.0,0.0,2021,Limited Liability Company,Other Health Care,0001911161,,,,,,
philadelphia,"AVP Holdings, LLC / Delaware",avp delaware,confirmed_funded,CLAYMONT,DE,19703,True,False,False,2.0,0.0,0.0,0.0,0.0,2021,Limited Liability Company,Other Health Care,0002058053,,,,,,
philadelphia,"Accolade, Inc.",accolade,confirmed_funded,PLYMOUTH MEETING,PA,19462,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001481646,,,,,,
philadelphia,"Aclaris Therapeutics, Inc.",aclaris therapeutics,confirmed_funded,WAYNE,PA,19087,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Pharmaceuticals,0001557746,,,,,,
philadelphia,Adulsa Therapeutics Corp,adulsa therapeutics,confirmed_funded,BERWYN,PA,19312,True,False,False,1.0,0.0,0.0,0.0,0.0,2020,Corporation,Biotechnology,0001887934,,,,,,
philadelphia,"Advanta Health Solutions, Inc.",advanta health solutions,confirmed_funded,NEWARK,NJ,07102,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0002007056,,,,,,
philadelphia,Aetas Co LLC,aetas,confirmed_funded,PHILADELPHIA,PA,19147,True,False,False,1.0,0.0,0.0,0.0,0.0,2018,Limited Liability Company,Other Health Care,0001810958,,,,,,
philadelphia,Aevumed Inc.,aevumed,confirmed_funded,MALVERN,PA,19355,True,False,False,4.0,0.0,0.0,0.0,0.0,,Corporation,Biotechnology,0002065988,,,,,,
philadelphia,"Akers Biosciences, Inc.",akers biosciences,confirmed_funded,THOROFARE,NJ,08086,True,False,False,5.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001321834,,,,,,
philadelphia,"Alta Smiles, Inc.",alta smiles,confirmed_funded,FORT WASHINGTON,PA,19034,True,False,False,3.0,0.0,0.0,0.0,0.0,2024,Corporation,Other Health Care,0002023426,,,,,,
philadelphia,"AltrixBio, Inc.",altrixbio,confirmed_funded,WILMINGTON,DE,19801,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Pharmaceuticals,0002040517,,,,,,
philadelphia,"Alveus Therapeutics, Inc.",alveus therapeutics,confirmed_funded,PHILADELPHIA,PA,19103,True,False,False,1.0,0.0,0.0,0.0,0.0,2023,Corporation,Pharmaceuticals,0002075856,,,,,,
philadelphia,"Amalgam Rx, Inc.",amalgam rx,confirmed_funded,WILMINGTON,DE,19801,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Other Health Care,0001667234,,,,,,
philadelphia,"American Treatment Network, LLC",american treatment network,confirmed_funded,HAVERTOWN,PA,19083,True,False,False,1.0,0.0,0.0,0.0,0.0,2018,Limited Liability Company,Other Health Care,0001880892,,,,,,
philadelphia,"Amplifi Vascular, Inc.",amplifi vascular,confirmed_funded,WILMINGTON,DE,19801,True,False,False,2.0,0.0,0.0,0.0,0.0,2023,Corporation,Biotechnology,0001990753,,,,,,
philadelphia,Arbutus Biopharma Corp,arbutus biopharma,confirmed_funded,Warminster,PA,18974,True,False,False,1.0,0.0,0.0,0.0,0.0,,Corporation,Pharmaceuticals,0001447028,,,,,,
philadelphia,Aro Biotherapeutics Co,aro biotherapeutics,confirmed_funded,PHILADELPHIA,PA,19104,True,False,False,6.0,0.0,0.0,0.0,0.0,2017,Corporation,Biotechnology,0001773305,,,,,,
philadelphia,"ArriVent Biopharma, Inc.",arrivent biopharma,confirmed_funded,NEWTOWN SQUARE,PA,19073-3269,True,False,False,3.0,0.0,0.0,0.0,0.0,2021,Corporation,Biotechnology,0001868279,,,,,,
