msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
pittsburgh,"3RC Home Health Holdings, LLC",3rc home health,confirmed_funded,PITTSBURGH,PA,15219,True,False,False,1.0,0.0,0.0,0.0,0.0,2018,Limited Liability Company,Other Health Care,0001759540,,,,,,
pittsburgh,ALUNG TECHNOLOGIES INC,alung technologies,confirmed_funded,PITTSBURGH,PA,15203,True,False,False,19.0,0.0,0.0,0.0,0.0,,Corporation,Biotechnology,0001179295,,,,,,
pittsburgh,Aclipse Therapeutics LLC,aclipse therapeutics,confirmed_funded,OAKMONT,PA,15139,True,False,False,1.0,0.0,0.0,0.0,0.0,2017,Limited Liability Company,Pharmaceuticals,0001730907,,,,,,
pittsburgh,"Advanced Surgical Hospital, LLC",advanced surgical hospital,confirmed_funded,WASHINGTON,PA,15301,True,False,False,1.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001870467,,,,,,
pittsburgh,"Ariel Precision Medicine, Inc.",ariel precision medicine,confirmed_funded,PITTSBURGH,PA,15206,True,False,False,2.0,0.0,0.0,0.0,0.0,2017,Corporation,Biotechnology,0001674590,,,,,,
pittsburgh,"Axomax Technologies, Inc.",axomax technologies,confirmed_funded,CANONSBURG,PA,15317,True,False,False,1.0,0.0,0.0,0.0,0.0,2018,Corporation,Other Health Care,0001807373,,,,,,
pittsburgh,Brainstage Inc,brainstage,confirmed_funded,Carnegie,PA,15206,True,False,False,2.0,0.0,0.0,0.0,0.0,,Corporation,Biotechnology,0001408264,,,,,,
pittsburgh,"CHC Medical Partners, Inc.",chc medical partners,confirmed_funded,Pittsburgh,PA,15275,True,False,False,5.0,0.0,0.0,0.0,0.0,2015,Corporation,Other Health Care,0001701580,,,,,,
pittsburgh,"CIRCADIANCE, LLC",circadiance,confirmed_funded,EXPORT,PA,15632,True,False,False,3.0,0.0,0.0,0.0,0.0,,Limited Liability Company,Other Health Care,0001646751,,,,,,
pittsburgh,Carmell Corp,carmell,confirmed_funded,Pittsburgh,PA,15203,True,False,False,3.0,0.0,0.0,0.0,0.0,2021,Corporation,Other Health Care,0001842939,,,,,,
pittsburgh,"Coeptis Pharmaceuticals, Inc.",coeptis pharmaceuticals,confirmed_funded,WEXFORD,PA,15090,True,False,False,3.0,0.0,0.0,0.0,0.0,2018,Corporation,Pharmaceuticals,0001760174,,,,,,
