msa,quarter,industry,company,CIK,STREET1,city,state,zip,ENTITYTYPE,JURISDICTIONOFINC,ACCESSIONNUMBER
philadelphia,2015q1,Pharmaceuticals,Scilex Pharmaceuticals Inc.,0001603542,101 LINDENWOOD DR.,malvern,PA,19355,Corporation,DELAWARE,0000905718-15-000328
philadelphia,2015q1,Biotechnology,"IES Diagnostics, Inc.",0001617589,"175 STRAFFORD AVENUE, SUITE ONE",wayne,PA,19087,Corporation,WYOMING,0001566114-15-000039
pittsburgh,2015q1,Biotechnology,Brainstage Inc,0001408264,215 Park Road,carnegie,PA,15206,Corporation,DELAWARE,0001408264-15-000003
atlanta,2015q1,Biotechnology,Accuitis Inc.,0001634848,4920 POND RIDGE LANE,cumming,GA,30041,Corporation,GEORGIA,0001634848-15-000001
dallas,2015q1,Other Health Care,Sentinel Diagnostic Imaging Inc.,0001631740,714 SADDLEBROOK DRIVE,colleyville,TX,76034,Corporation,DELAWARE,0001631740-15-000003
philadelphia,2015q1,Other Health Care,"Intact Vascular, Inc.",0001557120,"150 STRAFFORD AVENUE, #303",wayne,PA,19087,Corporation,DELAWARE,0001557120-15-000001
baltimore,2015q1,Other Health Care,"Consumable Science, Inc.",0001636119,6 SPA CREEK LANDING,annapolis,MD,21403,Corporation,DELAWARE,0001636119-15-000001
dallas,2015q1,Other Health Care,"Texas Health Surgery Center Preston Plaza, LLC",0001637004,17950 PRESTON ROAD,dallas,TX,75252,Limited Liability Company,TEXAS,0001637004-15-000001
baltimore,2015q1,Other Health Care,NEURONASCENT INC,0001445328,6030 DAY BREAK CIRCLE,clarksville,MD,21029,Corporation,MARYLAND,0001445328-15-000002
philadelphia,2015q1,Biotechnology,Hemoglobin Oxygen Therapeutics LLC,0001615647,674 SOUDER ROAD,souderton,PA,18964,Limited Liability Company,DELAWARE,0001615647-15-000001
philadelphia,2015q1,Biotechnology,PhaseBio Pharmaceuticals Inc,0001169245,1 Great Valley Parkway,malvern,PA,19355,Corporation,DELAWARE,0001169245-15-000001
dallas,2015q1,Pharmaceuticals,"TITAN PARTNERS, LLC",0001595404,"2100 MCKINNEY AVENUE, SUITE 1780",dallas,TX,75201,Limited Liability Company,TEXAS,0001595404-15-000002
atlanta,2015q1,Other Health Care,"REACH Health, Inc.",0001500088,10745 Westside Way,alpharetta,GA,30009,Corporation,DELAWARE,0001500088-15-000002
baltimore,2015q1,Other Health Care,"WellDoc, Inc.",0001459113,1501 ST. PAUL STREET,baltimore,MD,21202,Corporation,DELAWARE,0001459113-15-000002
philadelphia,2015q1,Pharmaceuticals,"ProstaGene, LLC",0001635915,901 NORTH PENN STREET,philadelphia,PA,19123,Limited Liability Company,DELAWARE,0001635915-15-000001
philadelphia,2015q1,Pharmaceuticals,HealthMed Corp,0001630968,250 CENTRAL AVE,newark,NJ,07103,Corporation,DELAWARE,0001630968-15-000005
dallas,2015q1,Other Health Care,Sentinel Diagnostic Imaging Inc.,0001631740,714 SADDLEBROOK DRIVE,colleyville,TX,76034,Corporation,DELAWARE,0001631740-15-000002
dallas,2015q1,Other Health Care,"Catapult Health, LLC",0001509247,"8144 WALNUT HILL LANE, SUITE 1120",dallas,TX,75231,Limited Liability Company,TEXAS,0001509247-15-000002
baltimore,2015q1,Biotechnology,"GRAYBUG, Inc.",0001534133,855 N. WOLFE STREET,baltimore,MD,21205,Corporation,DELAWARE,0001534133-15-000004
philadelphia,2015q1,Biotechnology,"Merganser Biotech, Inc.",0001635172,19 PAPER MILL ROAD,newtown square,PA,19073,Corporation,DELAWARE,0001635172-15-000002
philadelphia,2015q1,Other Health Care,"Genesis Healthcare, Inc.",0001351051,101 EAST STATE STREET,kennett square,PA,19348,Corporation,DELAWARE,0000950172-15-000022
baltimore,2015q1,Other Health Care,"Vasoptic Medical, Inc.",0001608501,9250 BENDIX ROAD,columbia,MD,21045,Corporation,MARYLAND,0000914760-15-000079
dallas,2015q1,Other Health Care,"MIDAS LABORATORIES, LLC",0001633154,6029 BELTLINE RD. STE 220,dallas,TX,75254,Limited Liability Company,TEXAS,0001633154-15-000002
philadelphia,2015q1,Pharmaceuticals,WELLESLEY PHARMACEUTICALS LLC,0001634861,3 VALLEY VIEW DRIVE,newtown,PA,18940,Limited Liability Company,DELAWARE,0001144204-15-012416
dallas,2015q1,Other Health Care,CareView Communications Inc,0001377149,405 STATE HIGHWAY 121,lewisville,TX,75067,Corporation,NEVADA,0001387131-15-000695
philadelphia,2015q1,Pharmaceuticals,"VvX Group, LLC",0001634399,2711 Centerville Drive,wilmington,DE,19808,Limited Liability Company,DELAWARE,0001634399-15-000001
baltimore,2015q1,Other Health Care,"WellDoc, Inc.",0001459113,1501 ST. PAUL STREET,baltimore,MD,21202,Corporation,DELAWARE,0001459113-15-000001
baltimore,2015q1,Biotechnology,"PAPGENE, INC.",0001634570,810 WYMAN PARK DRIVE,baltimore,MD,21211,Corporation,DELAWARE,0001015325-15-000004
dallas,2015q1,Pharmaceuticals,"Neos Therapeutics, Inc.",0001467652,2940 N. HIGHWAY 360,grand prairie,TX,75050,Corporation,DELAWARE,0001467652-15-000003
