CIK,msa,quarter,industry,company,STREET1,city,state,zip,ENTITYTYPE,JURISDICTIONOFINC,ACCESSIONNUMBER
0000057725,philadelphia,2021q2,Pharmaceuticals,LANNETT CO INC,9000 STATE ROAD,philadelphia,PA,19136,Corporation,DELAWARE,0001858205-21-000004
0000318306,dallas,2015q2,Pharmaceuticals,PLASMATECH BIOPHARMACEUTICALS INC,4848 Lemmon Avenue,dallas,TX,75219,Corporation,DELAWARE,0001140361-15-022662
0000319016,dallas,2017q1,Other Health Care,"Fuse Medical, Inc.",1300 SUMMIT AVE,fort worth,TX,76102,Corporation,DELAWARE,0000319016-17-000003
0000357097,philadelphia,2016q3,Biotechnology,"Fibrocell Science, Inc.",405 EAGLEVIEW BOULEVARD,exton,PA,19341,Corporation,DELAWARE,0001140361-16-077719
0000714256,dallas,2021q1,Other Health Care,Sanara MedTech Inc.,1200 SUMMIT AVE,fort worth,TX,76102,Corporation,TEXAS,0001654954-21-000770
0000784199,atlanta,2016q1,Other Health Care,CRYOLIFE INC,1655 ROBERTS BOULEVARD N W,kennesaw,GA,30144,Corporation,FLORIDA,0000784199-16-000176
0000802257,atlanta,2016q3,Pharmaceuticals,"True Nature Holding, Inc.",1355 PEACHTREE STREET,atlanta,GA,30309,Corporation,DELAWARE,0001575705-16-000155
0000802461,dallas,2017q2,Other Health Care,"Greenville Surgery Center, LLC","7150 GREENVILLE AVE., SUITE 200",dallas,TX,75231,Limited Liability Company,TEXAS,0000802461-17-000002
0000832489,atlanta,2021q1,Biotechnology,"GeoVax Labs, Inc.",1900 LAKE PARK DRIVE,smyrna,GA,30080,Corporation,DELAWARE,0000832489-21-000001
0000868278,philadelphia,2015q4,Pharmaceuticals,"ProPhase Labs, Inc.",621 N. SHADY RETREAT ROAD,doylestown,PA,18901,Corporation,DELAWARE,0001382963-15-000141
0000924515,atlanta,2015q3,Other Health Care,GUIDED THERAPEUTICS INC,5835 PEACHTREE CORNERS EAST,norcross,GA,30092,Corporation,DELAWARE,0000924515-15-000001
0000941125,atlanta,2019q3,Other Health Care,"GAINESVILLE SURGERY CENTER, L.P.",1945 BEVERLY ROAD,gainesville,GA,30501,Limited Partnership,TENNESSEE,0000941125-19-000002
0000944907,philadelphia,2025q1,Other Health Care,TRI-COUNTY SURGERY CENTER LLC,319 SECOND STREET PIKE,southampton,PA,18966,Limited Liability Company,PENNSYLVANIA,0000944907-25-000005
0000946486,philadelphia,2017q1,Biotechnology,WINDTREE THERAPEUTICS INC /DE/,2600 KELLY ROAD,warrington,PA,18976,Corporation,DELAWARE,0000946486-17-000001
0000946644,philadelphia,2016q3,Pharmaceuticals,HEMISPHERX BIOPHARMA INC,"1617 JFK BLVD, SUITE #500",philadelphia,PA,19103,Corporation,DELAWARE,0001609410-16-000004
0001004724,atlanta,2015q2,Other Health Care,"ADCARE HEALTH SYSTEMS, INC",1145 HEMBREE ROAD,roswell,GA,30076,Corporation,GEORGIA,0001004724-15-000045
0001008586,atlanta,2019q4,Other Health Care,STREAMLINE HEALTH SOLUTIONS INC.,1175 PEACHTREE STREET NE,atlanta,GA,30361,Corporation,DELAWARE,0001008586-19-000006
0001029748,philadelphia,2015q3,Other Health Care,PLYMOUTH MEETING AMBULATORY SURGICAL CENTER LLC,625 RIDGE PIKE,conshohocken,PA,19428,Limited Liability Company,PENNSYLVANIA,0001029748-15-000003
0001034485,atlanta,2015q2,Other Health Care,Q CARE INTERNATIONAL LLC,680 ATLANTA COUNTRY CLUB DR,marietta,GA,30067,Limited Liability Company,GEORGIA,0001034485-15-000002
0001055726,philadelphia,2019q3,Biotechnology,"INOVIO PHARMACEUTICALS, INC.",660 W. Germantown Pike,plymouth meeting,PA,19462,Corporation,DELAWARE,0001055726-19-000054
0001068337,pittsburgh,2016q3,Other Health Care,PHOENIX REHABILITATION & HEALTH SERVICES INC,430 INNOVATION DRIVE,blairsville,PA,15717,Corporation,PENNSYLVANIA,0001068337-16-000004
0001093248,atlanta,2017q3,Other Health Care,"MEDICAL INNOVATION HOLDINGS, INC.",5805 STATE BRIDGE ROAD,duluth,GA,30097,Corporation,COLORADO,0001493152-17-010225
0001119087,dallas,2015q4,Other Health Care,ORAMETRIX INC,2350 CAMPBELL CREEK BOULEVARD,richardson,TX,75082,Corporation,DELAWARE,0001119087-15-000001
