company,cik,our_founded_year,sec_year_of_incorp,match,status
"EarliTec Diagnostics, Inc.",1911356,2019,,,fetched
"Cosmetic Physician Partners, LLC",1897259,2021,,,fetched
"American Treatment Network, LLC",1880892,2018,,,fetched
"Organoid Therapeutics, Inc.",1807052,2019,,,fetched
"Irazu Oncology, LLC",2004491,2022,,,fetched
"Amplifi Vascular, Inc.",1990753,2023,,,fetched
"USRC Houston Newco Home, LLC",1820904,2020,,,fetched
"Patina Health, Inc.",1891732,2020,,,fetched
"Centinel Spine, LLC",1727729,2017,,,fetched
"Basis Medical, LLC",1738555,2017,,,fetched
