company_name,msa,priority_score,sample_band,source_form_d,source_sbir,source_tto,founded_year,cik,uei,sec_edgar_search_url,sbir_search_url,company_website,verification_notes
CARISMA Therapeutics Inc.,philadelphia,7,high (>=7),True,False,True,2017.0,1708649.0,,https://efts.sec.gov/LATEST/search-index?q=%22CARISMA+Therapeutics+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=CARISMA+Therapeutics+Inc.,,
"Sonavex, Inc.",baltimore,10,high (>=7),True,True,True,,1645892.0,EFQ8AGCC5HK7,https://efts.sec.gov/LATEST/search-index?q=%22Sonavex%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Sonavex%2C+Inc.,,
"Kinemo, Inc.",atlanta,9,high (>=7),True,True,False,2023.0,2031497.0,VQ6BKLJ1RQX7,https://efts.sec.gov/LATEST/search-index?q=%22Kinemo%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Kinemo%2C+Inc.,https://kinemo.io,
Duo Oncology Inc.,pittsburgh,9,high (>=7),True,True,False,2020.0,1843372.0,QK2QNS6KHHM5,https://efts.sec.gov/LATEST/search-index?q=%22Duo+Oncology+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Duo+Oncology+Inc.,https://www.DuoOncology.com,
"NKA Bio, Inc.",baltimore,7,high (>=7),True,True,False,2023.0,1967539.0,F6TLH1UTJG53,https://efts.sec.gov/LATEST/search-index?q=%22NKA+Bio%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=NKA+Bio%2C+Inc.,https://www.nkabio.com/,
Definitive Biotechnologies LLC,baltimore,7,high (>=7),True,True,False,2021.0,1858315.0,H2M6QRCP2J73,https://efts.sec.gov/LATEST/search-index?q=%22Definitive+Biotechnologies+LLC%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Definitive+Biotechnologies+LLC,,
"AsclepiX Therapeutics, Inc.",baltimore,7,high (>=7),True,True,True,,1697751.0,RC85LPKJ26P8,https://efts.sec.gov/LATEST/search-index?q=%22AsclepiX+Therapeutics%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=AsclepiX+Therapeutics%2C+Inc.,asclepix.com,
"Astek Diagnostics, Inc.",baltimore,9,high (>=7),True,True,False,2021.0,1972498.0,DWMKQ81LJLW1,https://efts.sec.gov/LATEST/search-index?q=%22Astek+Diagnostics%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Astek+Diagnostics%2C+Inc.,,
"NovAb, Inc.",atlanta,7,high (>=7),True,True,False,,1685163.0,WKYDVLA9B616,https://efts.sec.gov/LATEST/search-index?q=%22NovAb%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=NovAb%2C+Inc.,,
"Panorama Medicine, Inc.",philadelphia,7,high (>=7),True,True,False,2018.0,1775212.0,VE8NXFEDB9C8,https://efts.sec.gov/LATEST/search-index?q=%22Panorama+Medicine%2C+Inc.%22&forms=D,https://www.sbir.gov/sbirsearch/award/all?firm=Panorama+Medicine%2C+Inc.,https://www.panoramamedicine.com/,
