msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,True,True,True,2.0,1.0,302671.0,1.0,302671.0,Andson Biotech Inc.,andson biotech,operating_company,startup,biotech,ATLANTA,GA,30303,Biotechnology,,emory_known,2017131.0,JN6BFBRSN5K7,118408195,https://www.andsonbiotech.com,2.0,2025.0,2025.0,,,11,2021.0
atlanta,True,True,True,False,3.0,5.0,10040502.0,9.0,7753464.0,"BioCircuit Technologies, Inc.",biocircuit technologies,operating_company,startup,biotech,ATLANTA,GA,30309,Biotechnology,,,1777259.0,E9KLDNMNYJK5,116978015,http://www.biocircuit.com,15.0,2020.0,2024.0,,,9,2016.0
atlanta,True,True,False,False,1.0,1.0,100000.0,0.0,0.0,"Kinemo, Inc.",kinemo,operating_company,startup,biotech,ATLANTA,GA,30311,Biotechnology,,,2031497.0,VQ6BKLJ1RQX7,,https://kinemo.io,2.0,2024.0,2024.0,,,9,2023.0
atlanta,True,True,False,False,2.0,1.0,304742.0,0.0,0.0,"Piezo Therapeutics, Inc.",piezo therapeutics,operating_company,startup,pharma,CUMMING,GA,30041,Other Health Care,,,1961262.0,C476EL42ALG1,,https://www.piezotx.com/,1.0,2025.0,2025.0,,,9,2022.0
atlanta,True,True,True,False,1.0,5.0,5797887.0,9.0,5797887.0,Moonlight Therapeutics Inc.,moonlight therapeutics,operating_company,startup,pharma,MARIETTA,GA,30062,Biotechnology,,,2033833.0,S6TTK8Y6R5A1,081102641,http://www.moonlighttx.com,3.0,2019.0,2025.0,,,8,
atlanta,True,True,False,False,1.0,8.0,13235709.0,0.0,0.0,"ABLi Therapeutics, Inc.",abli therapeutics,operating_company,startup,pharma,ATLANTA,GA,30339,Pharmaceuticals,,,2104142.0,Z6F2VWKXRXL9,828325899,https://www.ablitherapeutics.com,5.0,2009.0,2021.0,,,7,2025.0
atlanta,True,True,True,True,2.0,8.0,10706223.0,7.0,3155163.0,"Axion BioSystems, Inc.",axion biosystems,operating_company,startup,biotech,ATLANTA,GA,30309,Biotechnology,,gatech_known,1458565.0,XCMKL76UJL15,802587035,,,2008.0,2018.0,,,7,2008.0
atlanta,True,True,True,False,8.0,6.0,1216917.0,5.0,1067881.0,"NovAb, Inc.",novab,operating_company,startup,biotech,TUCKER,GA,30084,Biotechnology,,,1685163.0,WKYDVLA9B616,079083146,,1.0,2014.0,2023.0,,,7,2013.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"ASSURED PHARMA, INC.",assured pharma,operating_company,startup,pharma,Atlanta,GA,30328,Pharmaceuticals,,,1649887.0,,,,,,,,,6,2015.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"AlmataBio, Inc.",almatabio,operating_company,startup,biotech,ATLANTA,GA,30308,Biotechnology,,,2002604.0,,,,,,,,,6,2023.0
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"AmpSport, Inc.",ampsport,operating_company,startup,biotech,Decatur,GA,30030,Biotechnology,,,1801202.0,,,,,,,,,6,2016.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Antios Therapeutics Inc.,antios therapeutics,operating_company,startup,pharma,ATLANTA,GA,30355,Biotechnology,,,1760428.0,,,,,,,,,6,2018.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Artelon, Inc.",artelon,operating_company,startup,biotech,MARIETTA,GA,30067,Biotechnology,,,1978956.0,,,,,,,,,6,2023.0
